"codi","nom"
"080018","Abrera"
"080023","Aguilar de Segarra"
"080039","Alella"
"080044","Alpens"
"080057","l'Ametlla del Vallès"
"080060","Arenys de Mar"
"080076","Arenys de Munt"
"080082","Argençola"
"080095","Argentona"
"080109","Artés"
"080116","Avià"
"080121","Avinyó"
"080137","Avinyonet del Penedès"
"080142","Aiguafreda"
"080155","Badalona"
"080168","Bagà"
"080174","Balenyà"
"080180","Balsareny"
"080193","Barcelona"
"080207","Begues"
"080214","Bellprat"
"080229","Berga"
"080235","Bigues i Riells"
"080240","Borredà"
"080253","el Bruc"
"080266","el Brull"
"080272","les Cabanyes"
"080288","Cabrera d'Anoia"
"080291","Cabrera de Mar"
"080305","Cabrils"
"080312","Calaf"
"080327","Caldes d'Estrac"
"080333","Caldes de Montbui"
"080348","Calders"
"080351","Calella"
"080364","Calonge de Segarra"
"080370","Calldetenes"
"080386","Callús"
"080399","Campins"
"080403","Canet de Mar"
"080410","Canovelles"
"080425","Cànoves i Samalús"
"080431","Canyelles"
"080446","Capellades"
"080459","Capolat"
"080462","Cardedeu"
"080478","Cardona"
"080484","Carme"
"080497","Casserres"
"080500","Castellar del Riu"
"080517","Castellar del Vallès"
"080522","Castellar de n'Hug"
"080538","Castellbell i el Vilar"
"080543","Castellbisbal"
"080556","Castellcir"
"080569","Castelldefels"
"080575","Castell de l'Areny"
"080581","Castellet i la Gornal"
"080594","Castellfollit del Boix"
"080608","Castellfollit de Riubregós"
"080615","Castellgalí"
"080620","Castellnou de Bages"
"080636","Castellolí"
"080641","Castellterçol"
"080654","Castellví de la Marca"
"080667","Castellví de Rosanes"
"080673","Centelles"
"080689","Cervelló"
"080692","Collbató"
"080706","Collsuspina"
"080713","Copons"
"080728","Corbera de Llobregat"
"080734","Cornellà de Llobregat"
"080749","Cubelles"
"080752","Dosrius"
"080765","Esparreguera"
"080771","Esplugues de Llobregat"
"080787","l'Espunyola"
"080790","l'Estany"
"080804","Fígols"
"080811","Fogars de Montclús"
"080826","Fogars de la Selva"
"080832","Folgueroles"
"080847","Fonollosa"
"080850","Font-rubí"
"080863","les Franqueses del Vallès"
"080879","Gallifa"
"080885","la Garriga"
"080898","Gavà"
"080902","Gaià"
"080919","Gelida"
"080924","Gironella"
"080930","Gisclareny"
"080945","la Granada"
"080958","Granera"
"080961","Granollers"
"080977","Gualba"
"080983","Sant Salvador de Guardiola"
"080996","Guardiola de Berguedà"
"081000","Gurb"
"081017","l'Hospitalet de Llobregat"
"081022","Igualada"
"081038","Jorba"
"081043","la Llacuna"
"081056","la Llagosta"
"081069","Llinars del Vallès"
"081075","Lliçà d'Amunt"
"081081","Lliçà de Vall"
"081094","Lluçà"
"081108","Malgrat de Mar"
"081115","Malla"
"081120","Manlleu"
"081136","Manresa"
"081141","Martorell"
"081154","Martorelles"
"081167","les Masies de Roda"
"081173","les Masies de Voltregà"
"081189","el Masnou"
"081192","Masquefa"
"081206","Matadepera"
"081213","Mataró"
"081228","Mediona"
"081234","Molins de Rei"
"081249","Mollet del Vallès"
"081252","Montcada i Reixac"
"081265","Montgat"
"081271","Monistrol de Montserrat"
"081287","Monistrol de Calders"
"081290","Muntanyola"
"081304","Montclar"
"081311","Montesquiu"
"081326","Montmajor"
"081332","Montmaneu"
"081347","Figaró-Montmany"
"081350","Montmeló"
"081363","Montornès del Vallès"
"081379","Montseny"
"081385","Moià"
"081398","Mura"
"081402","Navarcles"
"081419","Navàs"
"081424","la Nou de Berguedà"
"081430","Òdena"
"081445","Olvan"
"081458","Olèrdola"
"081461","Olesa de Bonesvalls"
"081477","Olesa de Montserrat"
"081483","Olivella"
"081496","Olost"
"081509","Orís"
"081516","Oristà"
"081521","Orpí"
"081537","Òrrius"
"081542","Pacs del Penedès"
"081555","Palafolls"
"081568","Palau-solità i Plegamans"
"081574","Pallejà"
"081580","el Papiol"
"081593","Parets del Vallès"
"081607","Perafita"
"081614","Piera"
"081629","els Hostalets de Pierola"
"081635","Pineda de Mar"
"081640","el Pla del Penedès"
"081653","la Pobla de Claramunt"
"081666","la Pobla de Lillet"
"081672","Polinyà"
"081688","Pontons"
"081691","el Prat de Llobregat"
"081705","els Prats de Rei"
"081712","Prats de Lluçanès"
"081727","Premià de Mar"
"081748","Puigdàlber"
"081751","Puig-reig"
"081764","Pujalt"
"081770","la Quar"
"081786","Rajadell"
"081799","Rellinars"
"081803","Ripollet"
"081810","la Roca del Vallès"
"081825","el Pont de Vilomara i Rocafort"
"081831","Roda de Ter"
"081846","Rubí"
"081859","Rubió"
"081878","Sabadell"
"081884","Sagàs"
"081897","Sant Pere Sallavinera"
"081901","Saldes"
"081918","Sallent"
"081923","Santpedor"
"081939","Sant Iscle de Vallalta"
"081944","Sant Adrià de Besòs"
"081957","Sant Agustí de Lluçanès"
"081960","Sant Andreu de la Barca"
"081976","Sant Andreu de Llavaneres"
"081982","Sant Antoni de Vilamajor"
"081995","Sant Bartomeu del Grau"
"082009","Sant Boi de Llobregat"
"082016","Sant Boi de Lluçanès"
"082021","Sant Celoni"
"082037","Sant Cebrià de Vallalta"
"082042","Sant Climent de Llobregat"
"082055","Sant Cugat del Vallès"
"082068","Sant Cugat Sesgarrigues"
"082074","Sant Esteve de Palautordera"
"082080","Sant Esteve Sesrovires"
"082093","Sant Fost de Campsentelles"
"082107","Sant Feliu de Codines"
"082114","Sant Feliu de Llobregat"
"082129","Sant Feliu Sasserra"
"082135","Sant Fruitós de Bages"
"082140","Vilassar de Dalt"
"082153","Sant Hipòlit de Voltregà"
"082166","Sant Jaume de Frontanyà"
"082172","Sant Joan Despí"
"082188","Sant Joan de Vilatorrada"
"082191","Vilassar de Mar"
"082205","Sant Julià de Vilatorta"
"082212","Sant Just Desvern"
"082227","Sant Llorenç d'Hortons"
"082233","Sant Llorenç Savall"
"082248","Sant Martí de Centelles"
"082251","Sant Martí d'Albars"
"082264","Sant Martí de Tous"
"082270","Sant Martí Sarroca"
"082286","Sant Martí Sesgueioles"
"082299","Sant Mateu de Bages"
"082303","Premià de Dalt"
"082310","Sant Pere de Ribes"
"082325","Sant Pere de Riudebitlles"
"082331","Sant Pere de Torelló"
"082346","Sant Pere de Vilamajor"
"082359","Sant Pol de Mar"
"082362","Sant Quintí de Mediona"
"082378","Sant Quirze de Besora"
"082384","Sant Quirze del Vallès"
"082397","Sant Quirze Safaja"
"082401","Sant Sadurní d'Anoia"
"082418","Sant Sadurní d'Osormort"
"082423","Marganell"
"082439","Santa Cecília de Voltregà"
"082444","Santa Coloma de Cervelló"
"082457","Santa Coloma de Gramenet"
"082460","Santa Eugènia de Berga"
"082476","Santa Eulàlia de Riuprimer"
"082482","Santa Eulàlia de Ronçana"
"082495","Santa Fe del Penedès"
"082508","Santa Margarida de Montbui"
"082515","Santa Margarida i els Monjos"
"082520","Barberà del Vallès"
"082536","Santa Maria de Besora"
"082541","l'Esquirol"
"082554","Santa Maria de Merlès"
"082567","Santa Maria de Martorelles"
"082573","Santa Maria de Miralles"
"082589","Santa Maria d'Oló"
"082592","Santa Maria de Palautordera"
"082606","Santa Perpètua de Mogoda"
"082613","Santa Susanna"
"082628","Sant Vicenç de Castellet"
"082634","Sant Vicenç dels Horts"
"082649","Sant Vicenç de Montalt"
"082652","Sant Vicenç de Torelló"
"082665","Cerdanyola del Vallès"
"082671","Sentmenat"
"082687","Cercs"
"082690","Seva"
"082704","Sitges"
"082711","Sobremunt"
"082726","Sora"
"082732","Subirats"
"082747","Súria"
"082750","Tavèrnoles"
"082763","Tagamanent"
"082779","Talamanca"
"082785","Taradell"
"082798","Terrassa"
"082802","Tavertet"
"082819","Teià"
"082824","Tiana"
"082830","Tona"
"082845","Tordera"
"082858","Torelló"
"082861","la Torre de Claramunt"
"082877","Torrelavit"
"082883","Torrelles de Foix"
"082896","Torrelles de Llobregat"
"082900","Ullastrell"
"082917","Vacarisses"
"082922","Vallbona d'Anoia"
"082938","Vallcebre"
"082943","Vallgorguina"
"082956","Vallirana"
"082969","Vallromanes"
"082975","Veciana"
"082981","Vic"
"082994","Vilada"
"083008","Viladecavalls"
"083015","Viladecans"
"083020","Vilanova del Camí"
"083036","Vilanova de Sau"
"083041","Vilobí del Penedès"
"083054","Vilafranca del Penedès"
"083067","Vilalba Sasserra"
"083073","Vilanova i la Geltrú"
"083089","Viver i Serrateix"
"089019","Rupit i Pruit"
"089024","Vilanova del Vallès"
"089030","Sant Julià de Cerdanyola"
"089045","Badia del Vallès"
"089058","la Palma de Cervelló"
"170010","Agullana"
"170025","Aiguaviva"
"170031","Albanyà"
"170046","Albons"
"170059","el Far d'Empordà"
"170062","Alp"
"170078","Amer"
"170084","Anglès"
"170097","Arbúcies"
"170101","Argelaguer"
"170118","l'Armentera"
"170123","Avinyonet de Puigventós"
"170139","Begur"
"170144","la Vajol"
"170157","Banyoles"
"170160","Bàscara"
"170182","Bellcaire d'Empordà"
"170195","Besalú"
"170209","Bescanó"
"170216","Beuda"
"170221","la Bisbal d'Empordà"
"170237","Blanes"
"170242","Bolvir"
"170255","Bordils"
"170268","Borrassà"
"170274","Breda"
"170280","Brunyola i Sant Martí Sapresa"
"170293","Boadella i les Escaules"
"170307","Cabanes"
"170314","Cabanelles"
"170329","Cadaqués"
"170335","Caldes de Malavella"
"170340","Calonge i Sant Antoni"
"170353","Camós"
"170366","Campdevànol"
"170372","Campelles"
"170388","Campllong"
"170391","Camprodon"
"170405","Canet d'Adri"
"170412","Cantallops"
"170427","Capmany"
"170433","Queralbs"
"170448","Cassà de la Selva"
"170464","Castellfollit de la Roca"
"170470","Castelló d'Empúries"
"170486","Castell-Platja d'Aro"
"170499","Celrà"
"170502","Cervià de Ter"
"170519","Cistella"
"170524","Siurana"
"170545","Colera"
"170558","Colomers"
"170561","Cornellà del Terri"
"170577","Corçà"
"170583","Crespià"
"170600","Darnius"
"170617","Das"
"170622","l'Escala"
"170638","Espinelves"
"170643","Espolla"
"170656","Esponellà"
"170669","Figueres"
"170675","Flaçà"
"170681","Foixà"
"170694","Fontanals de Cerdanya"
"170708","Fontanilles"
"170715","Fontcoberta"
"170736","Fornells de la Selva"
"170741","Fortià"
"170754","Garrigàs"
"170767","Garrigoles"
"170773","Garriguella"
"170789","Ger"
"170792","Girona"
"170806","Gombrèn"
"170813","Gualta"
"170828","Guils de Cerdanya"
"170834","Hostalric"
"170849","Isòvol"
"170852","Jafre"
"170865","la Jonquera"
"170871","Juià"
"170887","Lladó"
"170890","Llagostera"
"170904","Llambilles"
"170911","Llanars"
"170926","Llançà"
"170932","Llers"
"170947","Llívia"
"170950","Lloret de Mar"
"170963","les Llosses"
"170979","Madremanya"
"170985","Maià de Montcal"
"170998","Meranges"
"171002","Masarac"
"171019","Massanes"
"171024","Maçanet de Cabrenys"
"171030","Maçanet de la Selva"
"171058","Mieres"
"171061","Mollet de Peralada"
"171077","Molló"
"171096","Montagut i Oix"
"171100","Mont-ras"
"171117","Navata"
"171122","Ogassa"
"171143","Olot"
"171156","Ordis"
"171169","Osor"
"171175","Palafrugell"
"171181","Palamós"
"171194","Palau de Santa Eulàlia"
"171208","Palau-saverdera"
"171215","Palau-sator"
"171236","Palol de Revardit"
"171241","Pals"
"171254","Pardines"
"171267","Parlavà"
"171289","Pau"
"171292","Pedret i Marzà"
"171306","la Pera"
"171328","Peralada"
"171334","les Planes d'Hostoles"
"171349","Planoles"
"171352","Pont de Molins"
"171365","Pontós"
"171371","Porqueres"
"171387","Portbou"
"171390","les Preses"
"171404","el Port de la Selva"
"171411","Puigcerdà"
"171426","Quart"
"171432","Rabós"
"171447","Regencós"
"171450","Ribes de Freser"
"171463","Riells i Viabrea"
"171479","Ripoll"
"171485","Riudarenes"
"171498","Riudaura"
"171501","Riudellots de la Selva"
"171518","Riumors"
"171523","Roses"
"171539","Rupià"
"171544","Sales de Llierca"
"171557","Salt"
"171576","Sant Andreu Salou"
"171582","Sant Climent Sescebes"
"171595","Sant Feliu de Buixalleu"
"171609","Sant Feliu de Guíxols"
"171616","Sant Feliu de Pallerols"
"171621","Sant Ferriol"
"171637","Sant Gregori"
"171642","Sant Hilari Sacalm"
"171655","Sant Jaume de Llierca"
"171668","Sant Jordi Desvalls"
"171674","Sant Joan de les Abadesses"
"171680","Sant Joan de Mollet"
"171693","Sant Julià de Ramis"
"171707","Vallfogona de Ripollès"
"171714","Sant Llorenç de la Muga"
"171729","Sant Martí de Llémena"
"171735","Sant Martí Vell"
"171740","Sant Miquel de Campmajor"
"171753","Sant Miquel de Fluvià"
"171766","Sant Mori"
"171772","Sant Pau de Segúries"
"171788","Sant Pere Pescador"
"171805","Santa Coloma de Farners"
"171812","Santa Cristina d'Aro"
"171827","Santa Llogaia d'Àlguema"
"171833","Sant Aniol de Finestres"
"171848","Santa Pau"
"171851","Sant Joan les Fonts"
"171864","Sarrià de Ter"
"171870","Saus, Camallera i Llampaies"
"171886","la Selva de Mar"
"171899","la Cellera de Ter"
"171903","Serinyà"
"171910","Serra de Daró"
"171925","Setcases"
"171931","Sils"
"171946","Susqueda"
"171959","la Tallada d'Empordà"
"171962","Terrades"
"171978","Torrent"
"171984","Torroella de Fluvià"
"171997","Torroella de Montgrí"
"172001","Tortellà"
"172018","Toses"
"172023","Tossa de Mar"
"172039","Ultramort"
"172044","Ullà"
"172057","Ullastret"
"172060","Urús"
"172076","la Vall d'en Bas"
"172082","la Vall de Bianya"
"172095","Vall-llobrega"
"172109","Ventalló"
"172116","Verges"
"172121","Vidrà"
"172137","Vidreres"
"172142","Vilabertran"
"172155","Vilablareix"
"172168","Viladasens"
"172174","Viladamat"
"172180","Vilademuls"
"172207","Viladrau"
"172214","Vilafant"
"172229","Vilaür"
"172235","Vilajuïga"
"172240","Vilallonga de Ter"
"172253","Vilamacolum"
"172266","Vilamalla"
"172272","Vilamaniscle"
"172288","Vilanant"
"172305","Vila-sacra"
"172327","Vilopriu"
"172333","Vilobí d'Onyar"
"172348","Biure"
"179011","Cruïlles, Monells i Sant Sadurní de l'Heura"
"179026","Forallac"
"179032","Sant Julià del Llor i Bonmatí"
"250019","Abella de la Conca"
"250024","Àger"
"250030","Agramunt"
"250045","els Alamús"
"250058","Alàs i Cerc"
"250061","l'Albagés"
"250077","Albatàrrec"
"250083","Albesa"
"250096","l'Albi"
"250100","Alcanó"
"250117","Alcarràs"
"250122","Alcoletge"
"250138","Alfarràs"
"250143","Alfés"
"250156","Algerri"
"250169","Alguaire"
"250175","Alins"
"250194","Almacelles"
"250208","Almatret"
"250215","Almenar"
"250220","Alòs de Balaguer"
"250236","Alpicat"
"250241","Alt Àneu"
"250254","Naut Aran"
"250273","Anglesola"
"250292","Arbeca"
"250306","el Pont de Bar"
"250313","Arres"
"250328","Arsèguel"
"250334","Artesa de Lleida"
"250349","Artesa de Segre"
"250352","la Sentiu de Sió"
"250365","Aspa"
"250371","les Avellanes i Santa Linya"
"250387","Aitona"
"250390","Baix Pallars"
"250404","Balaguer"
"250411","Barbens"
"250426","la Baronia de Rialb"
"250432","la Vall de Boí"
"250447","Bassella"
"250450","Bausen"
"250463","Belianes"
"250479","Bellcaire d'Urgell"
"250485","Bell-lloc d'Urgell"
"250498","Bellmunt d'Urgell"
"250501","Bellpuig"
"250518","Bellver de Cerdanya"
"250523","Bellvís"
"250539","Benavent de Segrià"
"250557","Biosca"
"250560","Bovera"
"250576","Es Bòrdes"
"250582","les Borges Blanques"
"250595","Bossòst"
"250609","Cabanabona"
"250616","Cabó"
"250621","Camarasa"
"250637","Canejan"
"250642","Castellar de la Ribera"
"250674","Castelldans"
"250680","Castellnou de Seana"
"250693","Castelló de Farfanya"
"250707","Castellserà"
"250714","Cava"
"250729","Cervera"
"250735","Cervià de les Garrigues"
"250740","Ciutadilla"
"250753","Clariana de Cardener"
"250766","el Cogul"
"250772","Coll de Nargó"
"250788","Corbins"
"250791","Cubells"
"250812","l'Espluga Calba"
"250827","Espot"
"250851","Estaràs"
"250864","Esterri d'Àneu"
"250870","Esterri de Cardós"
"250886","Estamariu"
"250899","Farrera"
"250925","la Floresta"
"250931","Fondarella"
"250946","Foradada"
"250962","la Fuliola"
"250978","Fulleda"
"250984","Gavet de la Conca"
"250997","Golmés"
"251001","Gósol"
"251018","la Granadella"
"251023","la Granja d'Escarp"
"251039","Granyanella"
"251044","Granyena de Segarra"
"251057","Granyena de les Garrigues"
"251095","Guimerà"
"251109","Guissona"
"251116","Guixers"
"251121","Ivars de Noguera"
"251137","Ivars d'Urgell"
"251142","Ivorra"
"251155","Isona i Conca Dellà"
"251180","Juncosa"
"251193","Juneda"
"251207","Lleida"
"251214","Les"
"251229","Linyola"
"251235","Lladorre"
"251240","Lladurs"
"251253","Llardecans"
"251266","Llavorsí"
"251272","Lles de Cerdanya"
"251288","Llimiana"
"251291","Llobera"
"251305","Maldà"
"251312","Massalcoreig"
"251327","Massoteres"
"251333","Maials"
"251348","Menàrguens"
"251351","Miralcamp"
"251364","la Molsosa"
"251370","Mollerussa"
"251386","Montgai"
"251399","Montellà i Martinet"
"251403","Montferrer i Castellbò"
"251410","Montoliu de Segarra"
"251425","Montoliu de Lleida"
"251431","Montornès de Segarra"
"251459","Nalec"
"251462","Navès"
"251484","Odèn"
"251497","Oliana"
"251500","Oliola"
"251517","Olius"
"251522","les Oluges"
"251538","els Omellons"
"251543","els Omells de na Gaia"
"251556","Organyà"
"251569","Os de Balaguer"
"251575","Ossó de Sió"
"251581","el Palau d'Anglesola"
"251615","Conca de Dalt"
"251636","la Coma i la Pedra"
"251641","Penelles"
"251654","Peramola"
"251667","Pinell de Solsonès"
"251673","Pinós"
"251689","el Poal"
"251692","la Pobla de Cérvoles"
"251706","Bellaguarda"
"251713","la Pobla de Segur"
"251728","Ponts"
"251734","el Pont de Suert"
"251749","la Portella"
"251752","Prats i Sansor"
"251765","Preixana"
"251771","Preixens"
"251790","Prullans"
"251804","Puiggròs"
"251811","Puigverd d'Agramunt"
"251826","Puigverd de Lleida"
"251832","Rialp"
"251850","Ribera d'Urgellet"
"251863","Riner"
"251898","Rosselló"
"251902","Salàs de Pallars"
"251919","Sanaüja"
"251924","Sant Guim de Freixenet"
"251930","Sant Llorenç de Morunys"
"251945","Sant Ramon"
"251961","Sant Esteve de la Sarga"
"251977","Sant Guim de la Plana"
"252000","Sarroca de Lleida"
"252017","Sarroca de Bellera"
"252022","Senterada"
"252038","la Seu d'Urgell"
"252043","Seròs"
"252056","Sidamon"
"252069","el Soleràs"
"252075","Solsona"
"252081","Soriguera"
"252094","Sort"
"252108","Soses"
"252115","Sudanell"
"252120","Sunyer"
"252154","Talarn"
"252167","Talavera"
"252173","Tàrrega"
"252189","Tarrés"
"252192","Tarroja de Segarra"
"252206","Térmens"
"252213","Tírvia"
"252228","Tiurana"
"252234","Torà"
"252249","els Torms"
"252252","Tornabous"
"252265","Torrebesses"
"252271","la Torre de Cabdella"
"252287","Torrefarrera"
"252304","Torregrossa"
"252311","Torrelameu"
"252326","Torres de Segre"
"252332","Torre-serona"
"252347","Tremp"
"252385","Vallbona de les Monges"
"252398","les Valls de Valira"
"252402","Vallfogona de Balaguer"
"252424","Verdú"
"252430","Vielha e Mijaran"
"252445","Vilagrassa"
"252458","Vilaller"
"252477","Vilamòs"
"252483","Vilanova de Bellpuig"
"252496","Vilanova de l'Aguda"
"252509","Vilanova de Meià"
"252516","Vilanova de Segrià"
"252521","Vila-sana"
"252537","el Vilosell"
"252542","Vilanova de la Barca"
"252555","Vinaixa"
"259010","Vall de Cardós"
"259025","Sant Martí de Riucorb"
"259031","la Guingueta d'Àneu"
"259046","Castell de Mur"
"259059","Ribera d'Ondara"
"259062","les Valls d'Aguilar"
"259078","Torrefeta i Florejacs"
"259084","Fígols i Alinyà"
"259097","la Vansa i Fórnols"
"259101","Josa i Tuixén"
"259118","els Plans de Sió"
"259123","Gimenells i el Pla de la Font"
"259139","Riu de Cerdanya"
"430017","Aiguamúrcia"
"430022","Albinyana"
"430038","l'Albiol"
"430043","Alcanar"
"430056","Alcover"
"430069","Aldover"
"430075","l'Aleixar"
"430081","Alfara de Carles"
"430094","Alforja"
"430108","Alió"
"430115","Almoster"
"430120","Altafulla"
"430136","l'Ametlla de Mar"
"430141","Amposta"
"430154","Arbolí"
"430167","l'Arboç"
"430173","l'Argentera"
"430189","Arnes"
"430192","Ascó"
"430206","Banyeres del Penedès"
"430213","Barberà de la Conca"
"430228","Batea"
"430234","Bellmunt del Priorat"
"430249","Bellvei"
"430252","Benifallet"
"430265","Benissanet"
"430271","la Bisbal de Falset"
"430287","la Bisbal del Penedès"
"430290","Blancafort"
"430304","Bonastre"
"430311","les Borges del Camp"
"430326","Bot"
"430332","Botarell"
"430347","Bràfim"
"430350","Cabacés"
"430363","Cabra del Camp"
"430379","Calafell"
"430385","Cambrils"
"430398","Capafonts"
"430402","Capçanes"
"430419","Caseres"
"430424","Castellvell del Camp"
"430430","el Catllar"
"430445","la Sénia"
"430458","Colldejou"
"430461","Conesa"
"430477","Constantí"
"430483","Corbera d'Ebre"
"430496","Cornudella de Montsant"
"430509","Creixell"
"430516","Cunit"
"430521","Xerta"
"430537","Duesaigües"
"430542","l'Espluga de Francolí"
"430555","Falset"
"430568","la Fatarella"
"430574","la Febró"
"430580","la Figuera"
"430593","Figuerola del Camp"
"430607","Flix"
"430614","Forès"
"430629","Freginals"
"430635","la Galera"
"430640","Gandesa"
"430653","Garcia"
"430666","els Garidells"
"430672","Ginestar"
"430688","Godall"
"430691","Gratallops"
"430705","els Guiamets"
"430712","Horta de Sant Joan"
"430727","el Lloar"
"430733","Llorac"
"430748","Llorenç del Penedès"
"430751","Margalef"
"430764","Marçà"
"430770","Mas de Barberans"
"430786","Masdenverge"
"430799","Masllorenç"
"430803","la Masó"
"430810","Maspujols"
"430825","el Masroig"
"430831","el Milà"
"430846","Miravet"
"430859","el Molar"
"430862","Montblanc"
"430884","Montbrió del Camp"
"430897","Montferri"
"430901","el Montmell"
"430918","Mont-ral"
"430923","Mont-roig del Camp"
"430939","Móra d'Ebre"
"430944","Móra la Nova"
"430957","el Morell"
"430960","la Morera de Montsant"
"430976","la Nou de Gaià"
"430982","Nulles"
"430995","la Palma d'Ebre"
"431009","els Pallaresos"
"431016","Passanant i Belltall"
"431021","Paüls"
"431037","Perafort"
"431042","el Perelló"
"431055","les Piles"
"431068","el Pinell de Brai"
"431074","Pira"
"431080","el Pla de Santa Maria"
"431093","la Pobla de Mafumet"
"431107","la Pobla de Massaluca"
"431114","la Pobla de Montornès"
"431129","Poboleda"
"431135","el Pont d'Armentera"
"431140","Porrera"
"431153","Pradell de la Teixeta"
"431166","Prades"
"431172","Prat de Comte"
"431188","Pratdip"
"431191","Puigpelat"
"431205","Querol"
"431212","Rasquera"
"431227","Renau"
"431233","Reus"
"431248","la Riba"
"431251","Riba-roja d'Ebre"
"431264","la Riera de Gaià"
"431270","Riudecanyes"
"431286","Riudecols"
"431299","Riudoms"
"431303","Rocafort de Queralt"
"431310","Roda de Berà"
"431325","Rodonyà"
"431331","Roquetes"
"431346","el Rourell"
"431359","Salomó"
"431362","Sant Carles de la Ràpita"
"431378","Sant Jaume dels Domenys"
"431384","Santa Bàrbara"
"431397","Santa Coloma de Queralt"
"431401","Santa Oliva"
"431418","Pontils"
"431423","Sarral"
"431439","Savallà del Comtat"
"431444","la Secuita"
"431457","la Selva del Camp"
"431460","Senan"
"431476","Solivella"
"431482","Tarragona"
"431495","Tivenys"
"431508","Tivissa"
"431515","la Torre de Fontaubella"
"431520","la Torre de l'Espanyol"
"431536","Torredembarra"
"431541","Torroja del Priorat"
"431554","Tortosa"
"431567","Ulldecona"
"431573","Ulldemolins"
"431589","Vallclara"
"431592","Vallfogona de Riucorb"
"431606","Vallmoll"
"431613","Valls"
"431628","Vandellòs i l'Hospitalet de l'Infant"
"431634","el Vendrell"
"431649","Vespella de Gaià"
"431652","Vilabella"
"431665","Vilallonga del Camp"
"431671","Vilanova d'Escornalbou"
"431687","Vilanova de Prades"
"431690","Vilaplana"
"431704","Vila-rodona"
"431711","Vila-seca"
"431726","Vilaverd"
"431732","la Vilella Alta"
"431747","la Vilella Baixa"
"431750","Vilalba dels Arcs"
"431763","Vimbodí i Poblet"
"431779","Vinebre"
"431785","Vinyols i els Arcs"
"439018","Deltebre"
"439023","Sant Jaume d'Enveja"
"439039","Camarles"
"439044","l'Aldea"
"439057","Salou"
"439060","l'Ampolla"
"439076","la Canonja"
